"","P-value_thresh","PC1_var_explained(%)","PC2_var_explained(%)","PC1-PC5_var_explained(%)","PC1-PC10_var_explained(%)","top_r_comps_explain_80%","total_components"
"row","RESIDresults_p_val_0_0001.rds","0.377","0.328","1.586","2.956","563","1182"
"row.1","RESIDresults_p_val_0_0005.rds","0.321","0.311","1.528","2.915","563","1185"
"row.2","RESIDresults_p_val_0_001.rds","0.35","0.345","1.616","3.012","562","1190"
"row.3","RESIDresults_p_val_0_005.rds","0.569","0.333","1.829","3.276","557","1183"
"row.4","RESIDresults_p_val_0_01.rds","0.706","0.335","1.977","3.44","553","1178"
"row.5","RESIDresults_p_val_0_05.rds","0.827","0.42","2.311","3.912","541","1164"
"row.6","RESIDresults_p_val_0_1.rds","0.777","0.462","2.374","4.075","534","1151"
"row.7","RESIDresults_p_val_1.rds","0.684","0.501","2.406","4.197","525","1137"
"row.8","RESIDresults_p_val_1e-05.rds","0.645","0.575","2.488","4.262","469","917"
"row.9","RESIDresults_p_val_1e-06.rds","7.895","7.652","28.848","45.758","25","43"
"row.10","RESIDresults_p_val_1e-07.rds","17.978","11.872","46.632","71.018","12","21"
"row.11","RESIDresults_p_val_1e-08.rds","21.265","9.962","59.117","97.736","8","11"
"row.12","RESIDresults_p_val_5e-05.rds","0.42","0.364","1.675","3.063","563","1183"
"row.13","RESIDresults_p_val_5e-06.rds","2.042","1.231","6.496","10.61","186","308"
"row.14","RESIDresults_p_val_5e-07.rds","7.928","7.806","29.237","46.495","24","40"
"row.15","RESIDresults_p_val_5e-08.rds","17.577","11.179","47.35","70.837","13","22"
"row.16","RESIDresults_p_val_5e-09.rds","25.166","12.582","58.815","90.885","9","15"
